date,avg_temp,max_temp,min_temp,rain,feeling,schedule,top,bottom,outer,tip
2021-05-02,12.4,7.3,18.7,1.7,1,1,니트,슬랙스,후드집업,우산
2021-05-03,14.1,8.4,20.3,0,4,0,긴팔티,면바지,후드집업,0
2021-05-04,13.8,11.4,15.8,19.6,5,1,니트,슬랙스,후드집업,우산
2021-05-05,13.9,10.3,18.4,0.1,2,0,긴팔티,면바지,후드집업,우산
2021-05-06,15.7,7.9,23.1,0,1,0,긴팔티,면바지,바람막이,0
2021-05-07,14.4,10.7,17.2,8.8,4,1,셔츠,슬랙스,후드집업,우산
2021-05-08,14.3,8.9,21,0,1,1,셔츠,슬랙스,후드집업,0
2021-05-09,15.7,10,21.8,0,4,1,셔츠,슬랙스,바람막이,0
2021-05-10,13.2,11.7,14.6,0,1,0,긴팔티,면바지,후드집업,0
2021-05-11,18.5,9.4,25.7,0,2,1,셔츠,슬랙스,바람막이,0
2021-05-12,22,16.9,27.7,0,0,0,긴팔티,면바지,겉옷없음,0
2021-05-13,22.9,16.6,29.6,0,2,0,반팔티,면바지,겉옷없음,0
2021-05-14,24.1,18,30.8,0,3,1,반팔티,슬랙스,겉옷없음,0
2021-05-15,22.1,20.8,26.2,15,2,1,반팔티,슬랙스,겉옷없음,우산
2021-05-16,18.4,14.8,20.8,66.9,5,1,반팔티,슬랙스,바람막이,우산
2021-05-17,15.3,14.2,16.7,3.1,1,1,반팔티,슬랙스,바람막이,우산
2021-05-18,17.9,13.6,24.5,0,5,1,반팔티,슬랙스,바람막이,0
2021-05-19,19.9,12.4,26.6,0,2,1,반팔티,슬랙스,바람막이,0
2021-05-20,18.7,15.6,22.9,0.9,5,1,반팔티,슬랙스,바람막이,우산
2021-05-21,16,14.2,18.2,6.9,3,0,반팔티,면바지,바람막이,우산
2021-05-22,18.6,13.8,23.8,0.2,4,1,반팔티,슬랙스,바람막이,우산
2021-05-23,19.5,14.3,25.1,0,2,1,반팔티,슬랙스,바람막이,0
2021-05-24,19.4,16.4,24.5,0,3,0,반팔티,면바지,바람막이,0
2021-05-25,15.3,11.9,19.3,8.3,5,1,반팔티,슬랙스,바람막이,우산
2021-05-26,18,11.5,23,0,5,0,반팔티,면바지,바람막이,0
2021-05-27,15.8,13.9,18.7,8.9,2,0,반팔티,면바지,바람막이,우산
2021-05-28,15.3,12.4,19.7,12.3,4,0,반팔티,면바지,바람막이,우산
2021-05-29,15.4,12.8,19.1,0.3,5,0,반팔티,면바지,바람막이,우산
2021-05-30,18.4,10.8,26.3,18.1,4,0,반팔티,면바지,바람막이,우산
2021-05-31,19.9,16.5,23.8,4,4,0,반팔티,면바지,바람막이,우산
2021-06-01,20.2,15.9,23.9,3.2,4,1,반팔티,슬랙스,겉옷없음,우산
2021-06-02,23.2,16.6,29.7,0,1,1,반팔티,슬랙스,겉옷없음,0
2021-06-03,19.1,14.6,22.7,18.1,2,0,반팔티,면바지,바람막이,우산
2021-06-04,18.5,13.3,23.6,0,1,0,반팔티,면바지,바람막이,0
2021-06-05,20.8,17,25.7,0,2,1,반팔티,슬랙스,겉옷없음,0
2021-06-06,23,18.4,28.2,0,4,0,반팔티,면바지,겉옷없음,0
2021-06-07,21.1,19.4,24,0,4,1,반팔티,슬랙스,겉옷없음,0
2021-06-08,23.6,18.8,29.5,0.1,2,1,반팔티,슬랙스,겉옷없음,우산
2021-06-09,25.8,19.5,31.6,0,5,1,반팔티,반바지,겉옷없음,0
2021-06-10,24.9,20.5,29.8,6.1,4,0,반팔티,면바지,겉옷없음,우산
2021-06-11,21.5,19.9,24.4,4.6,4,1,반팔티,슬랙스,겉옷없음,우산
2021-06-12,24.2,18.2,30.2,0,2,1,반팔티,슬랙스,겉옷없음,0
2021-06-13,24.8,20.9,29.7,0,1,1,반팔티,슬랙스,겉옷없음,0
2021-06-14,24.8,18.9,30.2,0,2,0,반팔티,면바지,겉옷없음,0
2021-06-15,22.5,21.5,25.3,1.9,0,0,반팔티,면바지,겉옷없음,우산
2021-06-16,24.3,20.3,28.9,0,1,0,반팔티,면바지,겉옷없음,0
2021-06-17,21.9,19.6,25,0,0,1,반팔티,슬랙스,겉옷없음,0
2021-06-18,20,19,21.4,6.3,5,1,반팔티,슬랙스,바람막이,우산
2021-06-19,22.3,17.5,27.4,0,5,1,반팔티,슬랙스,겉옷없음,0
2021-06-20,22.9,17.6,29,0,3,1,반팔티,슬랙스,겉옷없음,0
2021-06-21,23.6,19.2,28.5,0,4,0,반팔티,면바지,겉옷없음,0
2021-06-22,22.8,19.7,28.6,0,0,1,반팔티,슬랙스,겉옷없음,0
2021-06-23,22.4,18.8,27.9,7.5,1,0,반팔티,면바지,겉옷없음,우산
2021-06-24,23,18.5,28,0,1,0,반팔티,면바지,겉옷없음,0
2021-06-25,24.1,19.5,29.5,0,3,1,반팔티,슬랙스,겉옷없음,0
2021-06-26,22.8,19.9,26.7,4.5,0,1,반팔티,슬랙스,겉옷없음,우산
2021-06-27,24.5,19.8,30.8,38.2,2,1,반팔티,슬랙스,겉옷없음,우산
2021-06-28,23.7,21,29.2,0.1,4,1,반팔티,슬랙스,겉옷없음,우산
2021-06-29,23.9,21.3,28.4,8,5,1,반팔티,슬랙스,겉옷없음,우산
2021-06-30,24.3,21,28.8,6,5,1,반팔티,슬랙스,겉옷없음,우산
2021-07-01,26.3,21.4,31,0,1,1,반팔티,반바지,겉옷없음,0
2021-07-02,27.1,23.6,31.8,0,1,1,민소매,반바지,겉옷없음,0
2021-07-03,22.6,19.6,25.7,60,3,0,반팔티,면바지,겉옷없음,우산
2021-07-04,21.4,19.8,23.1,21.4,4,1,반팔티,슬랙스,겉옷없음,우산
2021-07-05,23.3,20.1,26.9,0,3,1,반팔티,슬랙스,겉옷없음,0
2021-07-06,25.3,21,30.1,0,1,1,반팔티,반바지,겉옷없음,0
2021-07-07,26.4,23.9,29.1,12.7,3,1,반팔티,반바지,겉옷없음,우산
2021-07-08,26,23.8,29.8,2.9,0,0,반팔티,반바지,겉옷없음,우산
2021-07-09,25.5,23.6,29.2,0,5,1,반팔티,반바지,겉옷없음,0
2021-07-10,25.9,23.1,29.2,0.5,4,1,반팔티,반바지,겉옷없음,우산
2021-07-11,25.7,24.1,27.5,0.4,4,0,반팔티,반바지,겉옷없음,우산
2021-07-12,28.1,23.8,32.5,0,3,1,반팔티,반바지,겉옷없음,0
2021-07-13,28.8,26.3,31.5,0,4,1,반팔티,반바지,겉옷없음,0
2021-07-14,29.7,26.1,33.5,0,0,0,반팔티,반바지,겉옷없음,0
2021-07-15,29.1,25.9,34.5,0,5,1,민소매,반바지,겉옷없음,0
2021-07-16,28.8,24.2,35.2,0,5,0,반팔티,반바지,겉옷없음,0
2021-07-17,29.1,24.7,32.8,0,4,1,반팔티,반바지,겉옷없음,0
2021-07-18,29.6,25.7,34.1,0,4,1,반팔티,반바지,겉옷없음,0
2021-07-19,26.4,24,30.5,67.4,1,1,반팔티,반바지,겉옷없음,우산
2021-07-20,27.9,23.6,31.8,0,1,1,반팔티,반바지,겉옷없음,0
2021-07-21,30.5,25.3,35.3,0,2,1,민소매,반바지,겉옷없음,0
2021-07-22,31.2,26.5,35.9,0,3,1,민소매,반바지,겉옷없음,0
2021-07-23,31.2,27.2,35.8,0,5,1,민소매,반바지,겉옷없음,0
2021-07-24,31.7,26.9,36.5,0,2,0,민소매,반바지,겉옷없음,0
2021-07-25,31.5,27.2,35.9,0,2,1,민소매,반바지,겉옷없음,0
2021-07-26,31.2,27.4,35.4,0,1,1,민소매,반바지,겉옷없음,0
2021-07-27,31.1,27.8,35.7,0,4,1,민소매,반바지,겉옷없음,0
2021-07-28,30.4,27.1,34.7,0,3,0,민소매,반바지,겉옷없음,0
2021-07-29,29.6,27,33.3,0,4,0,반팔티,반바지,겉옷없음,0
2021-07-30,30.5,25.8,35.4,0,4,0,민소매,반바지,겉옷없음,0
2021-07-31,29.8,26.8,34.3,3,4,0,민소매,반바지,겉옷없음,우산
2021-08-01,27.1,25.1,28.8,21,1,0,반팔티,반바지,겉옷없음,우산
2021-08-02,26.5,25,28.6,1.7,3,1,반팔티,반바지,겉옷없음,우산
2021-08-03,28,24.1,31.4,0,1,1,반팔티,반바지,겉옷없음,0
2021-08-04,28.9,26.3,33.2,0,5,0,반팔티,반바지,겉옷없음,0
2021-08-05,29.4,25.6,33.7,0,2,1,반팔티,반바지,겉옷없음,0
2021-08-06,28.1,26,32.2,0,3,1,반팔티,반바지,겉옷없음,0
2021-08-07,28,23.4,32.3,0,2,0,반팔티,반바지,겉옷없음,0
2021-08-08,26.8,24.4,32.1,12.7,4,0,반팔티,반바지,겉옷없음,우산
2021-08-09,28.3,23.3,33.6,0,1,0,반팔티,반바지,겉옷없음,0
2021-08-10,27.7,24.3,32.2,0,2,1,반팔티,반바지,겉옷없음,0
2021-08-11,27.4,24.1,31.6,0,0,1,반팔티,반바지,겉옷없음,0
2021-08-12,26.8,24,31.7,0,0,1,반팔티,반바지,겉옷없음,0
2021-08-13,26.6,23.4,30.1,0,4,1,반팔티,반바지,겉옷없음,0
2021-08-14,26.1,23.4,30.5,0,5,0,반팔티,반바지,겉옷없음,0
2021-08-15,26.9,21.7,32.4,0,1,0,반팔티,반바지,겉옷없음,0
2021-08-16,27.3,22.5,32.8,0,4,0,반팔티,반바지,겉옷없음,0
2021-08-17,25.9,21.9,31.3,9.3,2,0,반팔티,반바지,겉옷없음,우산
2021-08-18,24.3,20.6,31,5.6,1,1,반팔티,슬랙스,겉옷없음,우산
2021-08-19,26,21,31.5,0,3,0,반팔티,반바지,겉옷없음,0
2021-08-20,26.6,22.6,30.7,0,4,1,반팔티,반바지,겉옷없음,0
2021-08-21,23.8,21,25.5,62.8,3,0,반팔티,면바지,겉옷없음,우산
2021-08-22,24.4,22.4,27,0,4,0,반팔티,면바지,겉옷없음,0
2021-08-23,22.4,21,24,7.4,2,1,반팔티,슬랙스,겉옷없음,우산
2021-08-24,23.4,21.1,26.4,10.5,2,1,반팔티,슬랙스,겉옷없음,우산
2021-08-25,25,23.5,27.3,0.3,3,0,반팔티,반바지,겉옷없음,우산
2021-08-26,25.5,22.9,27.9,0.7,4,0,반팔티,반바지,겉옷없음,우산
2021-08-27,22.4,20.4,25.5,0.9,3,0,반팔티,면바지,겉옷없음,우산
2021-08-28,23.6,19.7,28.2,0,2,1,반팔티,슬랙스,겉옷없음,0
2021-08-29,23.7,21.9,26.3,0.9,3,0,반팔티,면바지,겉옷없음,우산
2021-08-30,24.2,21.2,27.7,0,0,1,반팔티,슬랙스,겉옷없음,0
2021-08-31,20.5,18.1,23.1,77.4,0,1,반팔티,슬랙스,겉옷없음,우산
2021-09-01,21.4,18.5,23.9,0.8,2,0,반팔티,면바지,겉옷없음,우산
2021-09-02,23.5,20.7,26.7,0,3,1,반팔티,슬랙스,겉옷없음,0
2021-09-03,24.3,20.6,29.2,0,1,1,반팔티,슬랙스,겉옷없음,0
2021-09-04,23.2,18.5,28.6,0,2,1,반팔티,슬랙스,겉옷없음,0
2021-09-05,23.1,19.4,27.3,0,4,0,반팔티,면바지,겉옷없음,0
2021-09-06,22.3,18,26.4,12,2,1,반팔티,슬랙스,겉옷없음,우산
2021-09-07,19.6,17.6,20.9,29.6,3,0,반팔티,면바지,바람막이,우산
2021-09-08,22.2,19,26.9,1.6,4,0,반팔티,면바지,겉옷없음,우산
2021-09-09,23.5,19.1,29.1,0,5,1,반팔티,슬랙스,겉옷없음,0
2021-09-10,23.6,19.5,28.9,0,4,1,반팔티,슬랙스,겉옷없음,0
2021-09-11,24,19.9,29.4,0,2,1,반팔티,슬랙스,겉옷없음,0
2021-09-12,24.2,19.2,29.8,0,4,0,반팔티,면바지,겉옷없음,0
2021-09-13,24.8,20.8,30.3,0,1,1,반팔티,슬랙스,겉옷없음,0
2021-09-14,24.6,20,29.5,0,5,0,반팔티,면바지,겉옷없음,0
2021-09-15,23.6,19.5,28.9,0,4,0,반팔티,면바지,겉옷없음,0
2021-09-16,22.9,18,27.3,0,3,0,반팔티,면바지,겉옷없음,0
2021-09-17,23.5,20.5,28.2,0,2,0,반팔티,면바지,겉옷없음,0
2021-09-18,23.9,18.9,29.8,0,1,1,반팔티,슬랙스,겉옷없음,0
2021-09-19,23.7,20.8,27.8,0,4,0,반팔티,면바지,겉옷없음,0
2021-09-20,23.7,19,28.4,0,1,1,반팔티,슬랙스,겉옷없음,0
2021-09-21,22,17.4,26.2,68.1,2,1,반팔티,슬랙스,겉옷없음,우산
2021-09-22,20.2,16.8,24.3,4.5,5,0,반팔티,면바지,겉옷없음,우산
2021-09-23,20.9,16.9,25.9,0,1,0,반팔티,면바지,겉옷없음,0
2021-09-24,21.8,16.7,26.9,0,2,0,반팔티,면바지,겉옷없음,0
2021-09-25,21.2,18.7,23.1,0,3,0,반팔티,면바지,겉옷없음,0
2021-09-26,22.6,18.4,27.3,0,4,0,반팔티,면바지,겉옷없음,0
2021-09-27,21.6,18.7,25,0,2,1,반팔티,슬랙스,겉옷없음,0
2021-09-28,21.5,19.6,24.4,1.3,5,0,반팔티,면바지,겉옷없음,우산
2021-09-29,20.2,17.8,21.4,13.1,1,1,반팔티,슬랙스,겉옷없음,우산
2021-09-30,20.3,16,25.9,0,3,0,반팔티,면바지,겉옷없음,0
2021-10-01,21.1,16.9,27.5,13.3,5,1,반팔티,슬랙스,겉옷없음,우산
2021-10-02,20.7,16.4,26.6,0,0,0,반팔티,면바지,겉옷없음,0
2021-10-03,22.3,17.1,28.8,0,2,0,반팔티,면바지,겉옷없음,0
2021-10-04,22.9,19.2,25.6,3.6,3,1,반팔티,슬랙스,겉옷없음,우산
2021-10-05,23.6,21.7,26.5,0,0,0,반팔티,면바지,겉옷없음,0
2021-10-06,18.8,17.9,21.7,6.4,2,0,반팔티,면바지,바람막이,우산
2021-10-07,19.4,17.9,21.9,4.6,2,0,반팔티,면바지,바람막이,우산
2021-10-08,18.8,17.5,20,3.5,3,0,반팔티,면바지,바람막이,우산
2021-10-09,20.9,18.5,24.1,0.4,3,0,반팔티,면바지,겉옷없음,우산
2021-10-10,19.9,14.9,24.3,14.2,4,1,반팔티,슬랙스,바람막이,우산
2021-10-11,15.2,12.6,17.8,0.3,2,0,반팔티,면바지,바람막이,우산
2021-10-12,17.9,15.8,21.3,0,2,0,반팔티,면바지,바람막이,0
2021-10-13,19.6,14.9,25.2,0,2,1,반팔티,슬랙스,바람막이,0
2021-10-14,19.7,17.4,23.9,0,2,0,반팔티,면바지,바람막이,0
2021-10-15,19,17,21.4,0,3,0,반팔티,면바지,바람막이,0
2021-10-16,10.7,4.2,18.1,0,2,1,반팔티,슬랙스,후드집업,0
